escenario,ano,mes,etiqueta,P1-CC350-RGB_unidades,P1-CC350-RGB_litros,P1-CC350-RGB_p05,P1-CC350-RGB_p95,P2-QT1500-PET_unidades,P2-QT1500-PET_litros,P2-QT1500-PET_p05,P2-QT1500-PET_p95,P3-GARR25L_unidades,P3-GARR25L_litros,P3-GARR25L_p05,P3-GARR25L_p95,P1-CC350-RGB_factor,P2-QT1500-PET_factor,P3-GARR25L_factor
Base,2026,Abr,Abr-26,5902119,2065742,5668999,6114880,466458,699687,449117,483945,15002,375060,14703,15306,1.0,1.0,1.0
Base,2026,May,May-26,5961633,2086572,5743535,6189428,471161,706742,452938,488794,15154,378842,14855,15458,1.0,1.0,1.0
Base,2026,Jun,Jun-26,6140777,2149272,5909702,6380137,485319,727979,467527,503639,15609,390226,15307,15930,1.0,1.0,1.0
Base,2026,Jul,Jul-26,6187770,2165719,5966473,6431344,489033,733550,470354,507554,15569,389217,15275,15888,1.0,1.0,1.0
Base,2026,Ago,Ago-26,5949594,2082358,5720917,6180674,470210,705315,452744,488484,14969,374236,14660,15256,1.0,1.0,1.0
Base,2026,Sep,Sep-26,5771412,2019994,5560646,5987797,456128,684192,439367,473424,14521,363028,14229,14805,1.0,1.0,1.0
Base,2026,Oct,Oct-26,6259017,2190656,6020103,6498535,494664,741996,474996,512833,15775,394373,15452,16081,1.0,1.0,1.0
Base,2026,Nov,Nov-26,6448993,2257148,6204282,6681901,509679,764518,491074,527791,16254,406343,15938,16584,1.0,1.0,1.0
Base,2026,Dic,Dic-26,7270736,2544758,6992090,7537462,574623,861934,552842,596475,18325,458120,17970,18685,1.0,1.0,1.0
Base,2027,Ene,Ene-27,5933186,2076615,5715739,6151190,468913,703370,451170,487277,14981,374526,14668,15278,1.0,1.0,1.0
Base,2027,Feb,Feb-27,5749393,2012287,5534911,5971429,454387,681581,437215,471235,14517,362925,14211,14791,1.0,1.0,1.0
Base,2027,Mar,Mar-27,6116362,2140727,5897219,6353884,483390,725085,465176,501745,15444,386089,15131,15750,1.0,1.0,1.0
Mundial 2026,2026,Abr,Abr-26,5902119,2065742,5668999,6114880,466458,699687,449117,483945,15002,375060,14703,15306,1.0,1.0,1.0
Mundial 2026,2026,May,May-26,5961633,2086572,5743535,6189428,471161,706742,452938,488794,15154,378842,14855,15458,1.0,1.0,1.0
Mundial 2026,2026,Jun,Jun-26,6632039,2321214,6382478,6890548,524145,786217,504929,543930,15765,394128,15460,16089,1.08,1.08,1.01
Mundial 2026,2026,Jul,Jul-26,6806547,2382291,6563120,7074478,537936,806905,517389,558309,15880,397001,15580,16206,1.1,1.1,1.02
Mundial 2026,2026,Ago,Ago-26,5949594,2082358,5720917,6180674,470210,705315,452744,488484,14969,374236,14660,15256,1.0,1.0,1.0
Mundial 2026,2026,Sep,Sep-26,5771412,2019994,5560646,5987797,456128,684192,439367,473424,14521,363028,14229,14805,1.0,1.0,1.0
Mundial 2026,2026,Oct,Oct-26,6259017,2190656,6020103,6498535,494664,741996,474996,512833,15775,394373,15452,16081,1.0,1.0,1.0
Mundial 2026,2026,Nov,Nov-26,6448993,2257148,6204282,6681901,509679,764518,491074,527791,16254,406343,15938,16584,1.0,1.0,1.0
Mundial 2026,2026,Dic,Dic-26,7270736,2544758,6992090,7537462,574623,861934,552842,596475,18325,458120,17970,18685,1.0,1.0,1.0
Mundial 2026,2027,Ene,Ene-27,5933186,2076615,5715739,6151190,468913,703370,451170,487277,14981,374526,14668,15278,1.0,1.0,1.0
Mundial 2026,2027,Feb,Feb-27,5749393,2012287,5534911,5971429,454387,681581,437215,471235,14517,362925,14211,14791,1.0,1.0,1.0
Mundial 2026,2027,Mar,Mar-27,6116362,2140727,5897219,6353884,483390,725085,465176,501745,15444,386089,15131,15750,1.0,1.0,1.0
Paro nacional / choque logistico,2026,Abr,Abr-26,5902119,2065742,5668999,6114880,466458,699687,449117,483945,15002,375060,14703,15306,1.0,1.0,1.0
Paro nacional / choque logistico,2026,May,May-26,4888539,1710989,4709699,5075331,386352,579528,371409,400811,12426,310650,12181,12676,0.82,0.82,0.82
Paro nacional / choque logistico,2026,Jun,Jun-26,6140777,2149272,5909702,6380137,485319,727979,467527,503639,15609,390226,15307,15930,1.0,1.0,1.0
Paro nacional / choque logistico,2026,Jul,Jul-26,6187770,2165719,5966473,6431344,489033,733550,470354,507554,15569,389217,15275,15888,1.0,1.0,1.0
Paro nacional / choque logistico,2026,Ago,Ago-26,5949594,2082358,5720917,6180674,470210,705315,452744,488484,14969,374236,14660,15256,1.0,1.0,1.0
Paro nacional / choque logistico,2026,Sep,Sep-26,5771412,2019994,5560646,5987797,456128,684192,439367,473424,14521,363028,14229,14805,1.0,1.0,1.0
Paro nacional / choque logistico,2026,Oct,Oct-26,6259017,2190656,6020103,6498535,494664,741996,474996,512833,15775,394373,15452,16081,1.0,1.0,1.0
Paro nacional / choque logistico,2026,Nov,Nov-26,6448993,2257148,6204282,6681901,509679,764518,491074,527791,16254,406343,15938,16584,1.0,1.0,1.0
Paro nacional / choque logistico,2026,Dic,Dic-26,7270736,2544758,6992090,7537462,574623,861934,552842,596475,18325,458120,17970,18685,1.0,1.0,1.0
Paro nacional / choque logistico,2027,Ene,Ene-27,5933186,2076615,5715739,6151190,468913,703370,451170,487277,14981,374526,14668,15278,1.0,1.0,1.0
Paro nacional / choque logistico,2027,Feb,Feb-27,5749393,2012287,5534911,5971429,454387,681581,437215,471235,14517,362925,14211,14791,1.0,1.0,1.0
Paro nacional / choque logistico,2027,Mar,Mar-27,6116362,2140727,5897219,6353884,483390,725085,465176,501745,15444,386089,15131,15750,1.0,1.0,1.0
Recesion moderada,2026,Abr,Abr-26,5607013,1962455,5385549,5809136,443135,664703,426661,459748,14702,367559,14409,15000,0.95,0.95,0.98
Recesion moderada,2026,May,May-26,5663551,1982243,5456358,5879957,447603,671405,430291,464354,14851,371265,14558,15149,0.95,0.95,0.98
Recesion moderada,2026,Jun,Jun-26,5833738,2041808,5614217,6061130,461053,691580,444151,478457,15297,382421,15001,15611,0.95,0.95,0.98
Recesion moderada,2026,Jul,Jul-26,5878382,2057433,5668149,6109777,464581,696872,446836,482176,15258,381433,14970,15570,0.95,0.95,0.98
Recesion moderada,2026,Ago,Ago-26,5652114,1978240,5434871,5871640,446700,670049,430107,464060,14670,366751,14367,14951,0.95,0.95,0.98
Recesion moderada,2026,Sep,Sep-26,5482841,1918994,5282614,5688407,433322,649982,417399,449753,14231,355767,13944,14509,0.95,0.95,0.98
Recesion moderada,2026,Oct,Oct-26,5946066,2081123,5719098,6173608,469931,704896,451246,487191,15460,386486,15143,15759,0.95,0.95,0.98
Recesion moderada,2026,Nov,Nov-26,6126543,2144291,5894068,6347806,484195,726292,466520,501401,15929,398216,15619,16252,0.95,0.95,0.98
Recesion moderada,2026,Dic,Dic-26,6907199,2417520,6642486,7160589,545892,818837,525200,566651,17958,448958,17611,18311,0.95,0.95,0.98
Recesion moderada,2027,Ene,Ene-27,5636527,1972784,5429952,5843630,445467,668202,428612,462913,14681,367035,14375,14972,0.95,0.95,0.98
Recesion moderada,2027,Feb,Feb-27,5461923,1911673,5258165,5672858,431668,647502,415354,447673,14227,355666,13927,14495,0.95,0.95,0.98
Recesion moderada,2027,Mar,Mar-27,5810544,2033691,5602358,6036190,459220,688831,441917,476658,15135,378367,14828,15435,0.95,0.95,0.98
Restriccion hidrica CAR adicional,2026,Abr,Abr-26,5902119,2065742,5668999,6114880,466458,699687,449117,483945,12752,318801,12498,13010,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2026,May,May-26,5961633,2086572,5743535,6189428,471161,706742,452938,488794,12881,322016,12627,13139,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2026,Jun,Jun-26,6140777,2149272,5909702,6380137,485319,727979,467527,503639,13268,331692,13011,13540,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2026,Jul,Jul-26,6187770,2165719,5966473,6431344,489033,733550,470354,507554,13234,330834,12984,13505,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2026,Ago,Ago-26,5949594,2082358,5720917,6180674,470210,705315,452744,488484,12724,318101,12461,12968,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2026,Sep,Sep-26,5771412,2019994,5560646,5987797,456128,684192,439367,473424,12343,308574,12095,12584,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2026,Oct,Oct-26,6259017,2190656,6020103,6498535,494664,741996,474996,512833,13409,335217,13134,13669,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2026,Nov,Nov-26,6448993,2257148,6204282,6681901,509679,764518,491074,527791,13816,345392,13547,14096,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2026,Dic,Dic-26,7270736,2544758,6992090,7537462,574623,861934,552842,596475,15576,389402,15274,15882,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2027,Ene,Ene-27,5933186,2076615,5715739,6151190,468913,703370,451170,487277,12734,318347,12468,12986,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2027,Feb,Feb-27,5749393,2012287,5534911,5971429,454387,681581,437215,471235,12339,308486,12079,12572,1.0,1.0,0.85
Restriccion hidrica CAR adicional,2027,Mar,Mar-27,6116362,2140727,5897219,6353884,483390,725085,465176,501745,13127,328176,12861,13388,1.0,1.0,0.85
Repunte agresivo post-impuesto,2026,Abr,Abr-26,6197225,2169029,5952449,6420624,489781,734671,471573,508142,15002,375060,14703,15306,1.05,1.05,1.0
Repunte agresivo post-impuesto,2026,May,May-26,6259715,2190901,6030712,6498899,494719,742079,475585,513234,15154,378842,14855,15458,1.05,1.05,1.0
Repunte agresivo post-impuesto,2026,Jun,Jun-26,6447816,2256736,6205187,6699144,509585,764378,490903,528821,15609,390226,15307,15930,1.05,1.05,1.0
Repunte agresivo post-impuesto,2026,Jul,Jul-26,6497158,2274005,6264797,6752911,513485,770228,493872,532932,15569,389217,15275,15888,1.05,1.05,1.0
Repunte agresivo post-impuesto,2026,Ago,Ago-26,6247074,2186476,6006963,6489708,493720,740581,475381,512908,14969,374236,14660,15256,1.05,1.05,1.0
Repunte agresivo post-impuesto,2026,Sep,Sep-26,6059983,2120994,5838678,6287187,478934,718402,461335,497095,14521,363028,14229,14805,1.05,1.05,1.0
Repunte agresivo post-impuesto,2026,Oct,Oct-26,6571968,2300189,6321108,6823462,519397,779096,498746,538475,15775,394373,15452,16081,1.05,1.05,1.0
Repunte agresivo post-impuesto,2026,Nov,Nov-26,6771443,2370005,6514496,7015996,535163,802744,515628,554181,16254,406343,15938,16584,1.05,1.05,1.0
Repunte agresivo post-impuesto,2026,Dic,Dic-26,7634273,2671996,7341694,7914335,603354,905031,580484,626299,18325,458120,17970,18685,1.05,1.05,1.0
Repunte agresivo post-impuesto,2027,Ene,Ene-27,6229845,2180446,6001526,6458750,492359,738538,473728,511641,14981,374526,14668,15278,1.05,1.05,1.0
Repunte agresivo post-impuesto,2027,Feb,Feb-27,6036863,2112901,5811657,6270000,477106,715660,459076,494797,14517,362925,14211,14791,1.05,1.05,1.0
Repunte agresivo post-impuesto,2027,Mar,Mar-27,6422180,2247763,6192080,6671578,507560,761339,488435,526832,15444,386089,15131,15750,1.05,1.05,1.0
