anio,trim,producto,MCU_universo,litros,unidades
2021,1,P1,18.43,12451713.5,35576324
2021,1,P2,35.77,15538482.8,10358989
2021,1,P3,3.9,1882294.1,75292
2021,2,P1,18.22,12313871.7,35182490
2021,2,P2,35.38,15366470.1,10244313
2021,2,P3,3.5,1689238.3,67570
2021,3,P1,20.33,13738237.4,39252107
2021,3,P2,39.47,17143934.9,11429290
2021,3,P3,3.9,1882294.1,75292
2021,4,P1,22.75,15369365.9,43912474
2021,4,P2,44.15,19179418.8,12786279
2021,4,P3,3.8,1834030.2,73361
2022,1,P1,21.11,14266631.2,40761803
2022,1,P2,40.99,17803317.0,11868878
2022,1,P3,3.1,1496182.5,59847
2022,2,P1,21.96,14840972.2,42402778
2022,2,P2,42.64,18520036.7,12346691
2022,2,P3,2.9,1399654.6,55986
2022,3,P1,21.01,14197710.2,40564886
2022,3,P2,40.79,17717310.7,11811540
2022,3,P3,3.2,1544446.5,61778
2022,4,P1,22.44,15162603.2,43321723
2022,4,P2,43.56,18921399.7,12614266
2022,4,P3,3.4,1640974.4,65639
2023,1,P1,20.88,14105815.7,40302330
2023,1,P2,40.52,17602635.5,11735090
2023,1,P3,3.3,1592710.4,63708
2023,2,P1,21.73,14680156.7,41943305
2023,2,P2,42.17,18319355.2,12212903
2023,2,P3,3.5,1689238.3,67570
2023,3,P1,23.32,15759917.8,45028337
2023,3,P2,45.28,19666788.2,13111192
2023,3,P3,3.7,1785766.2,71431
2023,4,P1,24.11,16288311.6,46538033
2023,4,P2,46.79,20326170.3,13550780
2023,4,P3,3.5,1689238.3,67570
2024,1,P1,22.44,15162603.2,43321723
2024,1,P2,43.56,18921399.7,12614266
2024,1,P3,4.1,1978822.0,79153
2024,2,P1,21.93,14817998.5,42337139
2024,2,P2,42.57,18491367.9,12327579
2024,2,P3,4.0,1930558.1,77222
2024,3,P1,22.44,15162603.2,43321723
2024,3,P2,43.56,18921399.7,12614266
2024,3,P3,3.9,1882294.1,75292
2024,4,P1,24.28,16403179.8,46866228
2024,4,P2,47.12,20469514.3,13646343
2024,4,P3,3.7,1785766.2,71431
2025,1,P1,20.98,14174736.6,40499247
2025,1,P2,40.72,17688641.9,11792428
2025,1,P3,3.5,1689238.3,67570
2025,2,P1,21.59,14588262.1,41680749
2025,2,P2,41.91,18204680.1,12136453
2025,2,P3,3.5,1689238.3,67570
2025,3,P1,23.32,15759917.8,45028337
2025,3,P2,45.28,19666788.2,13111192
2025,3,P3,3.8,1834030.2,73361
2025,4,P1,25.23,17046441.7,48704119
2025,4,P2,48.97,21272240.3,14181494
2025,4,P3,3.7,1785766.2,71431
2026,1,P1,22.92,15484234.1,44240669
2026,1,P2,44.48,19322762.8,12881842
2026,1,P3,3.6,1737502.3,69500
