ano,mes,etiqueta,P1-CC350-RGB_litros,P1-CC350-RGB_unidades,P1-CC350-RGB_p05,P1-CC350-RGB_p95,P2-QT1500-PET_litros,P2-QT1500-PET_unidades,P2-QT1500-PET_p05,P2-QT1500-PET_p95,P3-GARR25L_litros,P3-GARR25L_unidades,P3-GARR25L_p05,P3-GARR25L_p95
2026,Abr,Abr-26,5025652,14359006,13562825,15218796,6362180,4241454,4014832,4503748,542265,21691,18927,24012
2026,May,May-26,5181245,14803557,13987363,15691240,6559152,4372768,4133893,4628589,559053,22362,19512,24725
2026,Jun,Jun-26,5496943,15705552,14844370,16648842,6621001,4414001,4171639,4674846,575841,23034,20017,25465
2026,Jul,Jul-26,5860473,16744208,15831989,17733012,6977046,4651364,4398029,4935578,629495,25180,22008,27852
2026,Ago,Ago-26,5365265,15329328,14507124,16263872,6712828,4475219,4227405,4747848,593421,23737,20706,26186
2026,Sep,Sep-26,5199119,14854626,14039723,15735627,6636366,4424244,4189099,4695508,580795,23232,20347,25651
2026,Oct,Oct-26,5438202,15537720,14675106,16468935,6533962,4355974,4121295,4614845,547353,21894,19151,24199
2026,Nov,Nov-26,5662594,16178840,15299108,17152360,7009735,4673157,4418724,4954781,575695,23028,20129,25416
2026,Dic,Dic-26,6570193,18771980,17748874,19889553,8203611,5469074,5172008,5798135,648322,25933,22682,28638
2027,Ene,Ene-27,5449116,15568902,14730061,16518455,6645832,4430554,4191367,4691216,581819,23273,20346,25704
2027,Feb,Feb-27,5042453,14407009,13597310,15251824,6149232,4099488,3874504,4345219,543837,21753,18975,24051
2027,Mar,Mar-27,5626980,16077086,15216974,17035796,6932079,4621386,4369469,4898230,600810,24032,20965,26513
